peak_location;start_window;end_window
2347.53;2297.36;2397.78
2347.99;2297.81;2398.25
2348.45;2298.27;2398.71
2348.91;2298.72;2399.17
2349.37;2299.18;2399.64
2349.82;2299.63;2400.1
2350.28;2300.08;2400.56
2350.74;2300.54;2401.03
2351.2;2300.99;2401.49
2351.66;2301.44;2401.95
2352.12;2301.9;2402.42
2352.58;2302.35;2402.88
2353.04;2302.81;2403.35
2353.5;2303.26;2403.81
2353.96;2303.72;2404.27
2354.41;2304.17;2404.74
2354.87;2304.62;2405.2
2355.33;2305.08;2405.67
2355.79;2305.53;2406.13
2356.25;2305.99;2406.6
2356.71;2306.44;2407.06
2357.17;2306.9;2407.52
2357.63;2307.35;2407.99
2358.09;2307.81;2408.45
2358.55;2308.26;2408.92
2359.01;2308.72;2409.38
2359.47;2309.17;2409.85
2359.93;2309.62;2410.31
2360.39;2310.08;2410.78
2360.85;2310.53;2411.24
2361.31;2310.99;2411.71
2361.77;2311.44;2412.17
2362.23;2311.9;2412.64
2362.69;2312.35;2413.1
2363.15;2312.81;2413.57
2363.61;2313.26;2414.03
2364.07;2313.72;2414.5
2364.53;2314.18;2414.96
2364.99;2314.63;2415.43
2365.45;2315.09;2415.89
2365.91;2315.54;2416.36
2366.37;2316;2416.82
2366.83;2316.45;2417.29
2367.29;2316.91;2417.75
2367.75;2317.36;2418.22
2368.21;2317.82;2418.22
2368.67;2318.27;2418.68
2369.13;2318.73;2419.15
2369.59;2319.19;2419.61
2370.05;2319.64;2420.08
2370.52;2320.1;2420.55
2370.98;2320.55;2421.01
2371.44;2321.01;2421.48
2371.9;2321.47;2421.94
2372.36;2321.92;2422.41
2372.82;2322.38;2422.87
2373.28;2322.83;2423.34
2373.74;2323.29;2423.81
2374.2;2323.75;2424.27
2374.66;2324.2;2424.74
2375.13;2325.12;2425.2
2375.59;2325.57;2425.67
2376.05;2326.03;2426.14
2376.51;2326.48;2426.6
2376.97;2326.94;2427.07
2377.43;2327.4;2427.54
2377.89;2327.85;2428
2378.36;2328.31;2428.47
2378.82;2328.77;2428.93
2379.28;2329.22;2429.4
2379.74;2329.68;2429.87
2380.2;2330.14;2430.33
2380.66;2330.59;2430.8
2381.13;2331.05;2431.27
2381.59;2331.51;2431.73
2382.05;2331.97;2432.2
2382.51;2332.42;2432.67
2382.97;2332.88;2433.14
2383.44;2333.34;2433.6
2383.9;2333.79;2434.07
2384.36;2334.25;2434.54
2384.82;2334.71;2435
2385.28;2335.17;2435.47
2385.75;2335.62;2435.94
2386.21;2336.08;2436.4
2386.67;2336.54;2436.87
2387.13;2337;2437.34
2387.6;2337.45;2437.81
2388.06;2337.91;2438.27
2388.52;2338.37;2438.74
2388.98;2338.83;2439.21
2389.45;2339.28;2439.68
2389.91;2339.74;2440.14
2390.37;2340.2;2440.61
2390.83;2340.66;2441.08
2391.3;2341.12;2441.55
2391.76;2341.57;2442.01
2392.22;2342.03;2442.48
2392.69;2342.49;2442.95
2393.15;2342.95;2443.42
2393.61;2343.41;2443.89
2394.08;2343.86;2444.35
2394.54;2344.32;2444.82
2395;2344.78;2445.29
2395.47;2345.24;2445.76
2395.93;2345.7;2446.23
2396.39;2346.16;2446.69
2396.86;2346.61;2447.16
2397.32;2347.07;2447.63
2397.78;2347.53;2448.1
2398.25;2347.99;2448.57
2398.71;2348.45;2449.03
2399.17;2348.91;2449.5
2399.64;2349.37;2449.97
2400.1;2349.82;2450.44
2400.56;2350.28;2450.91
2401.03;2350.74;2451.38
2401.49;2351.2;2451.85
2401.95;2351.66;2452.31
2402.42;2352.12;2452.78
2402.88;2352.58;2453.25
2403.35;2353.04;2453.72
2403.81;2353.5;2454.19
2404.27;2353.96;2454.66
2404.74;2354.41;2455.13
2405.2;2354.87;2455.6
2405.67;2355.33;2456.07
2406.13;2355.79;2456.54
2406.6;2356.25;2457
2407.06;2356.71;2457.47
2407.52;2357.17;2457.94
2407.99;2357.63;2458.41
2408.45;2358.09;2458.88
2408.92;2358.55;2459.35
2409.38;2359.01;2459.82
2409.85;2359.47;2460.29
2410.31;2359.93;2460.76
2410.78;2360.39;2461.23
2411.24;2360.85;2461.7
2411.71;2361.31;2462.17
2412.17;2361.77;2462.64
2412.64;2362.23;2463.11
2413.1;2362.69;2463.11
2413.57;2363.15;2463.58
2414.03;2363.61;2464.05
